receptor,ligand,seed,mode_rank,score_kcal_per_mol,pose_path
receptor_crystal,ZINC000543478179,2,9,-6.4,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed2.pdbqt
receptor_crystal,ZINC000543478179,3,1,-7.4,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed3.pdbqt
receptor_crystal,ZINC000543478179,3,2,-7.0,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed3.pdbqt
receptor_crystal,ZINC000543478179,3,3,-7.0,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed3.pdbqt
receptor_crystal,ZINC000543478179,3,4,-6.9,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed3.pdbqt
receptor_crystal,ZINC000543478179,3,5,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed3.pdbqt
receptor_crystal,ZINC000543478179,3,6,-6.6,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed3.pdbqt
receptor_crystal,ZINC000543478179,3,7,-6.5,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed3.pdbqt
receptor_crystal,ZINC000543478179,3,8,-6.5,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed3.pdbqt
receptor_crystal,ZINC000543478179,3,9,-6.4,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed3.pdbqt
receptor_crystal,ZINC000543478179,4,1,-7.4,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed4.pdbqt
receptor_crystal,ZINC000543478179,4,2,-7.1,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed4.pdbqt
receptor_crystal,ZINC000543478179,4,3,-7.0,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed4.pdbqt
receptor_crystal,ZINC000543478179,4,4,-6.9,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed4.pdbqt
receptor_crystal,ZINC000543478179,4,5,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed4.pdbqt
receptor_crystal,ZINC000543478179,4,6,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed4.pdbqt
receptor_crystal,ZINC000543478179,4,7,-6.5,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed4.pdbqt
receptor_crystal,ZINC000543478179,4,8,-6.5,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed4.pdbqt
receptor_crystal,ZINC000543478179,4,9,-6.4,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed4.pdbqt
receptor_crystal,ZINC000543478179,5,1,-7.4,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed5.pdbqt
receptor_crystal,ZINC000543478179,5,2,-7.0,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed5.pdbqt
receptor_crystal,ZINC000543478179,5,3,-6.9,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed5.pdbqt
receptor_crystal,ZINC000543478179,5,4,-6.9,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed5.pdbqt
receptor_crystal,ZINC000543478179,5,5,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed5.pdbqt
receptor_crystal,ZINC000543478179,5,6,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed5.pdbqt
receptor_crystal,ZINC000543478179,5,7,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed5.pdbqt
receptor_crystal,ZINC000543478179,5,8,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed5.pdbqt
receptor_crystal,ZINC000543478179,5,9,-6.6,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed5.pdbqt
receptor_crystal,ZINC000560333501,1,1,-6.8,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed1.pdbqt
receptor_crystal,ZINC000560333501,1,2,-6.8,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed1.pdbqt
receptor_crystal,ZINC000560333501,1,3,-6.8,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed1.pdbqt
receptor_crystal,ZINC000560333501,1,4,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed1.pdbqt
receptor_crystal,ZINC000560333501,1,5,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed1.pdbqt
receptor_crystal,ZINC000560333501,1,6,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed1.pdbqt
receptor_crystal,ZINC000560333501,1,7,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed1.pdbqt
receptor_crystal,ZINC000560333501,1,8,-6.6,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed1.pdbqt
receptor_crystal,ZINC000560333501,1,9,-6.6,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed1.pdbqt
receptor_crystal,ZINC000560333501,2,1,-6.9,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed2.pdbqt
receptor_crystal,ZINC000560333501,2,2,-6.8,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed2.pdbqt
receptor_crystal,ZINC000560333501,2,3,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed2.pdbqt
