#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
905000,3619.999999942046,-3626417.6787142903,-3086929.7576091224,301.46203603682886,51,3:00:12
907500,3629.9999999418096,-3630869.6580368746,-3091248.2627730984,301.53662045297284,51,2:59:56
910000,3639.999999941573,-3629316.8047327455,-3090019.9044698225,301.35529494073444,51,2:59:40
912500,3649.9999999413367,-3624619.7612497155,-3087086.4221571186,300.3698294274511,51,2:59:24
915000,3659.9999999411,-3626315.40274987,-3087054.514162852,301.3351718708476,51,2:59:08
917500,3669.9999999408637,-3628744.532881409,-3091495.8397288145,300.21077128867563,51,2:58:52
920000,3679.9999999406273,-3626497.145444475,-3087171.4531358276,301.3713837323202,51,2:58:36
922500,3689.999999940391,-3628868.126078494,-3092001.1776830293,299.9974550173958,50.9,2:58:20
925000,3699.9999999401543,-3628783.2941078693,-3090258.854887362,300.92364917167095,50.9,2:58:04
927500,3709.999999939918,-3628937.31178358,-3092635.850238985,299.6814649632238,50.9,2:57:48
930000,3719.9999999396814,-3632279.646678675,-3092050.035955176,301.87648695167314,50.9,2:57:32
932500,3729.999999939445,-3629952.8543419447,-3091019.6417773757,301.1520688262316,50.9,2:57:16
935000,3739.9999999392085,-3628838.910428632,-3090167.8803271754,301.0055631195218,50.9,2:57:00
937500,3749.999999938972,-3629193.4081219453,-3091195.945930836,300.6291781334662,50.9,2:56:44
940000,3759.9999999387355,-3627565.1034592446,-3090531.195135449,300.09075104491035,50.9,2:56:28
942500,3769.999999938499,-3627358.0735305212,-3088898.6702775285,300.8873075328398,50.9,2:56:12
945000,3779.9999999382626,-3627443.40283438,-3089724.404074013,300.4735747371539,50.9,2:55:56
947500,3789.999999938026,-3629322.6148046944,-3088760.145870176,302.06248576662335,50.9,2:55:40
950000,3799.9999999377897,-3628863.5478986,-3090981.2737632487,300.5648118623086,50.9,2:55:24
952500,3809.999999937553,-3631937.6387511455,-3094354.2599694044,300.39779125195514,50.9,2:55:08
955000,3819.9999999373167,-3629872.8628985807,-3090656.567154781,301.3102537053367,50.9,2:54:51
957500,3829.9999999370802,-3632348.466468595,-3094914.2871412183,300.31441965172337,50.9,2:54:35
960000,3839.999999936844,-3629975.9188219253,-3090849.0621485664,301.2602757851248,50.9,2:54:19
962500,3849.9999999366073,-3626921.7933469135,-3087566.6417125096,301.3878453952702,50.9,2:54:03
965000,3859.999999936371,-3629141.25835637,-3090766.7227640767,300.83988408407095,50.9,2:53:47
967500,3869.9999999361344,-3626224.9517141953,-3089699.443076995,299.8066608945181,50.9,2:53:31
970000,3879.999999935898,-3627580.235783834,-3087276.387113085,301.91797059172103,50.9,2:53:14
972500,3889.9999999356614,-3628308.397467969,-3088988.205244896,301.3683103233879,50.9,2:52:58
975000,3899.999999935425,-3629009.917593986,-3089697.9672463774,301.36370482164966,50.9,2:52:42
977500,3909.9999999351885,-3625945.6333640683,-3087412.3093063557,300.928613955884,50.9,2:52:26
980000,3919.999999934952,-3628081.629008267,-3091482.65928021,299.847710432706,50.9,2:52:10
982500,3929.9999999347156,-3626573.198789289,-3086709.5302013895,301.67200107357735,50.8,2:51:53
985000,3939.999999934479,-3630053.29420455,-3092209.0555728874,300.5435578917652,50.8,2:51:37
987500,3949.9999999342426,-3628998.2076532245,-3090027.462963822,301.1730415122297,50.8,2:51:21
990000,3959.999999934006,-3629260.492410941,-3090114.0512682344,301.2712194481306,50.8,2:51:05
992500,3969.9999999337697,-3626711.47161738,-3088557.4865073273,300.71664203392646,50.8,2:50:49
995000,3979.999999933533,-3628011.033875264,-3088258.7925922154,301.6097362834375,50.8,2:50:32
997500,3989.9999999332967,-3625579.18841481,-3085073.458142465,302.0307806033538,50.8,2:50:16
1000000,3999.9999999330603,-3624923.304679701,-3086408.2268491094,300.91841809317293,50.8,2:50:00
1002500,4009.999999932824,-3627048.309256494,-3087214.2799465703,301.65543885459925,50.8,2:49:44
1005000,4019.9999999325873,-3628810.668941591,-3088592.82015267,301.8699144657901,50.8,2:49:27
1007500,4029.999999932351,-3627970.2313756105,-3089399.131614635,300.9497227517865,50.8,2:49:11
1010000,4039.9999999321144,-3626741.4507774413,-3087363.2279699836,301.40073740365534,50.8,2:48:55
1012500,4049.999999931878,-3630119.298173923,-3093901.8012700174,299.6345461156515,50.8,2:48:38
1015000,4059.9999999316415,-3627437.2777106054,-3088464.87951256,301.1739654811687,50.8,2:48:22
1017500,4069.999999931405,-3629618.220888499,-3092419.136299136,300.18305037428354,50.8,2:48:06
