lig_00012371,-5.9,-6.2,-0.2999999999999998
lig_00052484,-5.9,-6.2,-0.2999999999999998
lig_00050143,-6.4,-6.7,-0.2999999999999998
lig_00041044,-5.2,-5.5,-0.2999999999999998
lig_00079383,-6.0,-6.3,-0.2999999999999998
lig_00099495,-6.4,-6.7,-0.2999999999999998
lig_00040409,-5.4,-5.7,-0.2999999999999998
lig_00013170,-6.2,-6.5,-0.2999999999999998
lig_00032882,-6.2,-6.5,-0.2999999999999998
lig_00051734,-6.5,-6.8,-0.2999999999999998
lig_00079372,-6.2,-6.5,-0.2999999999999998
lig_00012836,-5.9,-6.2,-0.2999999999999998
lig_00035805,-5.3,-5.6,-0.2999999999999998
lig_00060250,-5.7,-6.0,-0.2999999999999998
lig_00012837,-5.7,-6.0,-0.2999999999999998
lig_00051491,-6.7,-7.0,-0.2999999999999998
lig_00084915,-5.8,-6.1,-0.2999999999999998
lig_00022693,-6.7,-7.0,-0.2999999999999998
lig_00054084,-5.7,-6.0,-0.2999999999999998
lig_00075922,-6.4,-6.7,-0.2999999999999998
lig_00096252,-6.2,-6.5,-0.2999999999999998
lig_00023166,-5.8,-6.1,-0.2999999999999998
lig_00063913,-6.0,-6.3,-0.2999999999999998
lig_00031881,-6.2,-6.5,-0.2999999999999998
lig_00048124,-5.9,-6.2,-0.2999999999999998
lig_00032592,-5.8,-6.1,-0.2999999999999998
lig_00049005,-6.2,-6.5,-0.2999999999999998
lig_00059230,-6.2,-6.5,-0.2999999999999998
lig_00084759,-5.4,-5.7,-0.2999999999999998
lig_00050467,-6.5,-6.8,-0.2999999999999998
lig_00084749,-5.8,-6.1,-0.2999999999999998
lig_00030989,-5.7,-6.0,-0.2999999999999998
lig_00058819,-6.3,-6.6,-0.2999999999999998
lig_00061717,-6.7,-7.0,-0.2999999999999998
lig_00051474,-5.9,-6.2,-0.2999999999999998
lig_00010260,-5.8,-6.1,-0.2999999999999998
lig_00048337,-5.7,-6.0,-0.2999999999999998
lig_00074456,-6.0,-6.2,-0.20000000000000018
lig_00012651,-5.6,-5.8,-0.20000000000000018
lig_00049102,-6.5,-6.7,-0.20000000000000018
lig_00029268,-6.5,-6.7,-0.20000000000000018
lig_00024835,-5.7,-5.9,-0.20000000000000018
lig_00047850,-6.3,-6.5,-0.20000000000000018
lig_00014650,-5.5,-5.7,-0.20000000000000018
lig_00070966,-6.3,-6.5,-0.20000000000000018
lig_00092743,-6.3,-6.5,-0.20000000000000018
lig_00010481,-6.3,-6.5,-0.20000000000000018
lig_00006391,-6.5,-6.7,-0.20000000000000018
lig_00064619,-6.1,-6.3,-0.20000000000000018
lig_00023998,-5.7,-5.9,-0.20000000000000018
lig_00043765,-6.2,-6.4,-0.20000000000000018
lig_00012464,-6.6,-6.8,-0.20000000000000018
lig_00058086,-6.7,-6.9,-0.20000000000000018
lig_00028704,-5.5,-5.7,-0.20000000000000018
lig_00017165,-5.8,-6.0,-0.20000000000000018
lig_00050194,-6.3,-6.5,-0.20000000000000018
lig_00082771,-5.6,-5.8,-0.20000000000000018
lig_00046252,-5.7,-5.9,-0.20000000000000018
lig_00052063,-6.0,-6.2,-0.20000000000000018
lig_00033495,-5.7,-5.9,-0.20000000000000018
lig_00076312,-6.5,-6.7,-0.20000000000000018
lig_00049623,-6.0,-6.2,-0.20000000000000018
lig_00032986,-5.6,-5.8,-0.20000000000000018
lig_00038742,-5.3,-5.5,-0.20000000000000018
lig_00098163,-6.0,-6.2,-0.20000000000000018
lig_00012666,-5.6,-5.8,-0.20000000000000018
lig_00087544,-6.3,-6.5,-0.20000000000000018
lig_00049024,-6.0,-6.2,-0.20000000000000018
lig_00069373,-6.5,-6.7,-0.20000000000000018
lig_00016493,-6.2,-6.4,-0.20000000000000018
lig_00035396,-6.0,-6.2,-0.20000000000000018
lig_00008204,-6.3,-6.5,-0.20000000000000018
lig_00085770,-6.6,-6.8,-0.20000000000000018
lig_00027489,-7.1,-7.3,-0.20000000000000018
lig_00013995,-6.0,-6.2,-0.20000000000000018
lig_00011986,-6.2,-6.4,-0.20000000000000018
lig_00040312,-5.5,-5.7,-0.20000000000000018
lig_00045552,-6.8,-7.0,-0.20000000000000018
lig_00021265,-6.2,-6.4,-0.20000000000000018
lig_00078039,-6.2,-6.4,-0.20000000000000018
lig_00057123,-6.6,-6.8,-0.20000000000000018
lig_00095773,-6.0,-6.2,-0.20000000000000018
lig_00079376,-6.3,-6.5,-0.20000000000000018
lig_00079381,-6.0,-6.2,-0.20000000000000018
lig_00064280,-7.2,-7.4,-0.20000000000000018
lig_00064129,-6.0,-6.2,-0.20000000000000018
lig_00011440,-6.0,-6.2,-0.20000000000000018
lig_00001651,-6.7,-6.9,-0.20000000000000018
lig_00048352,-6.1,-6.3,-0.20000000000000018
lig_00041270,-6.1,-6.3,-0.20000000000000018
lig_00091981,-5.5,-5.7,-0.20000000000000018
lig_00004163,-6.6,-6.8,-0.20000000000000018
lig_00049240,-5.8,-6.0,-0.20000000000000018
lig_00011045,-6.2,-6.4,-0.20000000000000018
lig_00094835,-5.6,-5.8,-0.20000000000000018
lig_00091386,-6.1,-6.3,-0.20000000000000018
lig_00015891,-5.7,-5.9,-0.20000000000000018
lig_00064972,-6.4,-6.6,-0.1999999999999993
lig_00084925,-5.4,-5.6,-0.1999999999999993
lig_00011126,-5.4,-5.6,-0.1999999999999993
lig_00028914,-5.9,-6.1,-0.1999999999999993
lig_00009864,-6.4,-6.6,-0.1999999999999993
lig_00099614,-6.4,-6.6,-0.1999999999999993
lig_00009473,-5.9,-6.1,-0.1999999999999993
lig_00023234,-5.4,-5.6,-0.1999999999999993
lig_00025828,-5.9,-6.1,-0.1999999999999993
lig_00085962,-6.9,-7.1,-0.1999999999999993
lig_00016005,-5.4,-5.6,-0.1999999999999993
lig_00063429,-6.4,-6.6,-0.1999999999999993
lig_00049069,-5.9,-6.1,-0.1999999999999993
lig_00087503,-5.9,-6.1,-0.1999999999999993
lig_00049148,-5.9,-6.1,-0.1999999999999993
lig_00049147,-5.4,-5.6,-0.1999999999999993
lig_00014437,-5.9,-6.1,-0.1999999999999993
lig_00080526,-5.9,-6.1,-0.1999999999999993
lig_00086812,-5.9,-6.1,-0.1999999999999993
lig_00061809,-6.1,-6.2,-0.10000000000000053
lig_00092209,-6.1,-6.2,-0.10000000000000053
lig_00014429,-5.3,-5.4,-0.10000000000000053
lig_00094729,-6.1,-6.2,-0.10000000000000053
lig_00052714,-6.3,-6.4,-0.10000000000000053
lig_00048695,-5.8,-5.9,-0.10000000000000053
lig_00041683,-5.8,-5.9,-0.10000000000000053
lig_00024770,-5.6,-5.7,-0.10000000000000053
lig_00008764,-6.3,-6.4,-0.10000000000000053
lig_00012345,-5.8,-5.9,-0.10000000000000053
lig_00026070,-5.3,-5.4,-0.10000000000000053
lig_00026224,-6.3,-6.4,-0.10000000000000053
lig_00049152,-5.8,-5.9,-0.10000000000000053
lig_00012321,-6.3,-6.4,-0.10000000000000053
lig_00045372,-7.1,-7.2,-0.10000000000000053
lig_00023961,-6.3,-6.4,-0.10000000000000053
lig_00085966,-6.8,-6.9,-0.10000000000000053
lig_00021578,-6.3,-6.4,-0.10000000000000053
lig_00040438,-5.6,-5.7,-0.10000000000000053
lig_00085802,-6.8,-6.9,-0.10000000000000053
lig_00049068,-5.8,-5.9,-0.10000000000000053
lig_00032850,-5.8,-5.9,-0.10000000000000053
lig_00063464,-6.1,-6.2,-0.10000000000000053
lig_00033049,-6.3,-6.4,-0.10000000000000053
lig_00021581,-6.3,-6.4,-0.10000000000000053
lig_00054117,-6.3,-6.4,-0.10000000000000053
lig_00025827,-5.8,-5.9,-0.10000000000000053
lig_00044798,-6.3,-6.4,-0.10000000000000053
lig_00091472,-6.3,-6.4,-0.10000000000000053
lig_00023153,-5.8,-5.9,-0.10000000000000053
lig_00040950,-5.8,-5.9,-0.10000000000000053
lig_00043709,-6.6,-6.7,-0.10000000000000053
lig_00017172,-5.8,-5.9,-0.10000000000000053
lig_00001775,-6.1,-6.2,-0.10000000000000053
lig_00089023,-6.3,-6.4,-0.10000000000000053
lig_00041049,-5.3,-5.4,-0.10000000000000053
lig_00014747,-5.6,-5.7,-0.10000000000000053
lig_00042746,-6.3,-6.4,-0.10000000000000053
lig_00064154,-6.3,-6.4,-0.10000000000000053
lig_00025225,-5.6,-5.7,-0.10000000000000053
lig_00073031,-6.3,-6.4,-0.10000000000000053
lig_00025263,-5.6,-5.7,-0.10000000000000053
lig_00012702,-5.8,-5.9,-0.10000000000000053
