#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
437500,1749.9999999862655,-3526776.332442932,-3002216.6965555553,301.44137934121375,53.5,1:20:02:26
450000,1799.9999999850832,-3525301.88977962,-3001494.5536032985,301.0090657450773,53.5,1:20:00:58
462500,1849.9999999839008,-3524375.5641690046,-2999364.1902406435,301.7009733489473,53.5,1:19:59:36
475000,1899.9999999827185,-3527034.6719063055,-3003167.864204931,301.04324141799816,53.5,1:19:58:09
487500,1949.9999999815361,-3527947.699694395,-3004687.745932064,300.69450911774317,53.6,1:19:56:36
500000,1999.9999999803538,-3525531.4382819645,-3002288.3462121612,300.6848194437655,53.6,1:19:55:13
512500,2049.9999999791717,-3529089.814536102,-3005356.209264358,300.96669583314485,53.5,1:19:54:07
525000,2099.9999999779893,-3528706.794463584,-3004722.543315164,301.11073100783716,53.5,1:19:52:48
537500,2149.999999976807,-3528515.924667144,-3004399.234599293,301.18683783691864,53.5,1:19:51:31
550000,2199.9999999756246,-3528147.850698864,-3003578.4666069136,301.446981206153,53.5,1:19:50:04
562500,2249.9999999744423,-3530150.86319652,-3006401.1439049193,300.97595585248314,53.5,1:19:48:36
575000,2299.99999997326,-3525274.1325428784,-3002130.067537545,300.62791293997884,53.6,1:19:47:08
587500,2349.9999999720776,-3526607.200121848,-3004949.4815179207,299.7737749568671,53.5,1:19:46:32
600000,2399.9999999708953,-3527623.6151335333,-3002609.594939255,301.70249404172176,53.5,1:19:45:11
612500,2449.999999969713,-3529216.4341861643,-3006217.5635406724,300.54447611962735,53.6,1:19:43:05
625000,2499.9999999685306,-3525846.4005219694,-3001202.8905959893,301.489578066693,53.6,1:19:41:08
637500,2549.9999999673482,-3527006.3098109476,-3001633.975861815,301.9084012162562,53.6,1:19:38:59
650000,2599.999999966166,-3524340.0274938475,-3000448.94113173,301.0571932977888,53.6,1:19:36:48
662500,2649.9999999649835,-3526404.533017732,-3003650.356456858,300.4038611783748,53.6,1:19:34:42
675000,2699.999999963801,-3524782.728822535,-3000286.4981339127,301.4049431588193,53.6,1:19:32:40
687500,2749.999999962619,-3525636.09223973,-3000962.357335568,301.5069470338997,53.6,1:19:30:25
700000,2799.9999999614365,-3526697.8104633223,-3002846.337331265,301.03442931464446,53.7,1:19:28:22
712500,2849.999999960254,-3528722.086558642,-3006548.9712467333,300.0699508040592,53.7,1:19:26:21
725000,2899.999999959072,-3529951.0102672633,-3005721.2127260496,301.251835733157,53.7,1:19:24:14
737500,2949.9999999578895,-3527261.905366989,-3005889.123997658,299.61003404516475,53.7,1:19:22:01
750000,2999.999999956707,-3525440.6842398886,-3003279.914460974,300.0628563685752,53.7,1:19:19:59
762500,3049.999999955525,-3530142.6781522315,-3003998.8140642922,302.3517656944469,53.7,1:19:17:59
775000,3099.9999999543425,-3524478.75932814,-3001941.692813236,300.27909757239263,53.8,1:19:15:52
787500,3149.99999995316,-3528469.037594551,-3005934.705554291,300.27752618993753,53.8,1:19:13:49
800000,3199.9999999519778,-3528048.023020461,-3003457.4123460567,301.4591791906259,53.8,1:19:11:51
812500,3249.9999999507954,-3524380.6874331236,-3001214.3178441287,300.6407304043902,53.8,1:19:09:54
825000,3299.999999949613,-3527735.462136414,-3002989.6024379767,301.54839398479635,53.8,1:19:08:01
837500,3349.9999999484307,-3529164.3008962944,-3006285.1932755853,300.4756535703598,53.8,1:19:06:08
850000,3399.9999999472484,-3525682.4815958906,-3000079.0686663305,302.04119215522894,53.8,1:19:04:07
862500,3449.999999946066,-3527985.699143041,-3003342.1364600486,301.4896083838302,53.8,1:19:02:15
875000,3499.9999999448837,-3529748.906656351,-3008247.256795715,299.6840891060481,53.9,1:19:00:24
