#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
622500,2489.999999968767,-3630776.31821307,-3091680.2712796656,301.23606171177653,50.3,3:34:55
625000,2499.9999999685306,-3626849.0563188754,-3090126.8353780746,299.9096153442535,50.3,3:34:38
627500,2509.999999968294,-3626866.025815118,-3089592.769984875,300.21752259177566,50.3,3:34:21
630000,2519.9999999680576,-3632430.586417906,-3094892.120724961,300.3657165453796,50.3,3:34:04
632500,2529.999999967821,-3626958.2773996443,-3088903.9089188566,300.6539926789555,50.3,3:33:47
635000,2539.9999999675847,-3628133.2388227247,-3089652.9131682925,300.8920090067998,50.3,3:33:30
637500,2549.9999999673482,-3629275.9192766696,-3090522.6829697127,301.0445060073501,50.3,3:33:13
640000,2559.9999999671118,-3628202.9934150614,-3090200.2598146955,300.62514014309727,50.3,3:32:56
642500,2569.9999999668753,-3624551.4191584885,-3087465.6804686007,300.11274177361645,50.3,3:32:39
645000,2579.999999966639,-3630133.0850750804,-3088433.340027793,302.6909560115477,50.3,3:32:22
647500,2589.9999999664024,-3627451.181278186,-3090330.360397091,300.1323449986364,50.3,3:32:05
650000,2599.999999966166,-3630064.272653399,-3091621.334780888,300.8711174639177,50.3,3:31:48
652500,2609.9999999659294,-3629418.0624216534,-3090369.6324783256,301.2094542924812,50.3,3:31:31
655000,2619.999999965693,-3623463.3525566217,-3085989.3242442235,300.32971022915217,50.3,3:31:15
657500,2629.9999999654565,-3629058.749007957,-3091962.0350219198,300.11887454904127,50.3,3:30:57
660000,2639.99999996522,-3630253.3782190587,-3092765.929094036,300.3372095101484,50.3,3:30:40
662500,2649.9999999649835,-3628683.999330841,-3089769.3709030654,301.1346886884201,50.3,3:30:23
665000,2659.999999964747,-3624968.720386805,-3085664.780367558,301.3522281997199,50.3,3:30:06
667500,2669.9999999645106,-3625053.824962722,-3088202.8841046393,299.98154145309155,50.3,3:29:48
670000,2679.999999964274,-3628317.436078556,-3089357.199757771,301.1601734645583,50.3,3:29:31
672500,2689.9999999640377,-3629914.12790451,-3093084.691031887,299.9695254571888,50.3,3:29:14
675000,2699.999999963801,-3626470.4680577684,-3085868.57450948,302.07749860672334,50.3,3:28:57
677500,2709.9999999635647,-3631901.4738828596,-3093194.477124403,301.0186682747886,50.3,3:28:40
680000,2719.9999999633283,-3628328.7519517,-3090916.908674663,300.29496247825307,50.3,3:28:23
682500,2729.999999963092,-3626892.8973679934,-3088149.190108697,301.0391813665824,50.3,3:28:06
