Tier,ZINC ID,Ligand ID,chunk,MW (Da),LogP,TPSA,BBB Penetration,QED,LD50 (mg/kg),ProTox Risk Band,SMILES
1A,ZINC000097728464_1,lig_00005912,28,357.454,2.0485,69.72,0.883836555,0.847060555,1500,GREEN (advance),CCN1C[C@@H](C(=O)Nc2ccc(CCC(=O)N3CCCC3)cc2)CC1=O
1A,ZINC000436837591_1,lig_00002438,28,330.306,2.1038,60.85,0.951218081,0.903326467,1375,GREEN (advance),CCN1CCN(C(=O)c2ccc(C(F)(F)F)cc2O)[C@@H](C)C1=O
1A,ZINC000104021936_1,lig_00014199,28,332.4,2.0376,67.87,0.927729309,0.895840005,1250,GREEN (advance),CCNC(=O)CCC(=O)N1CCC[C@@H]1c1ccc2c(c1)OCCO2
1A,ZINC000650601229_1,lig_00082957,120,340.395,2.5254,63.4,0.99733789,0.856881193,1250,GREEN (advance),NC(=O)CSc1ccccc1C(=O)N1CCC2(CC1)CC2(F)F
1A,ZINC000618182290_1,lig_00083029,120,346.496,3.3064,63.4,0.960134161,0.832103261,1250,GREEN (advance),NC(=O)CSc1ccccc1C(=O)N1CC[C@@H](C2CCCCC2)C1
1A,ZINC000652840969_1,lig_00010935,28,354.454,2.01624,67.23,0.807483673,0.862911394,1228,GREEN (advance),CCN1C[C@H](CNC(=O)Cc2ccc(-n3nc(C)cc3C)cc2)CC1=O
1A,ZINC001433370437_1,lig_00013857,28,339.443,2.41312,63.05,0.980081451,0.9085715,1200,GREEN (advance),CCNC(=O)C1(Cn2c(C)nnc2N2Cc3ccccc3C2)CCC1
1A,ZINC000360351341_1,lig_00065631,55,297.786,2.2277,68.45,0.984827852,0.925106137,1190,GREEN (advance),COC1CCC(N(C)c2ncc(C(N)=O)cc2Cl)CC1
1A,ZINC000652835608_1,lig_00007494,28,334.391,2.0192,66.48,0.97742908,0.775937504,1160,GREEN (advance),CCN1C[C@@H](CNC(=O)[C@@H](C)CC(=O)c2ccccc2F)CC1=O
1A,ZINC000604028794_1,lig_00014169,28,370.371,2.4415,66.48,0.983264732,0.782512398,1160,GREEN (advance),CCNC(=O)CCC(=O)N1CCC(C(=O)c2c(F)cc(F)cc2F)CC1
1A,ZINC000869145251_1,lig_00010885,28,337.423,2.251,62.3,0.98057605,0.910142416,1011,GREEN (advance),CCN1C[C@H](CNC(=O)C2(c3ccnc4ccccc34)CC2)CC1=O
1A,ZINC000477439824_1,lig_00000995,1,361.219,2.8448,68.67,0.926784611,0.758901246,1000,GREEN (advance),Brc1ccc(-c2nnc(C[NH2+]C3(c4ccccc4)CC3)o2)o1
1A,ZINC001296809397_1,lig_00000095,28,364.873,2.4069,60.85,0.9372262,0.895485472,1000,GREEN (advance),CCN1CCN(C(=O)C2CC(O)(c3cccc(Cl)c3)C2)C(C)(C)C1=O
1A,ZINC000635821547_1,lig_00000099,28,367.396,2.1528,69.72,0.93217833,0.867023681,1000,GREEN (advance),CCN1CCN(C(=O)CCC(=O)Nc2c(F)cccc2F)C(C)(C)C1=O
1A,ZINC000544659246_1,lig_00000320,28,359.47,2.3807,61.88,0.979659176,0.877986423,1000,GREEN (advance),CCN1CCN(C(=O)NCC2(c3cccc(OC)c3)CCCC2)CC1=O
1A,ZINC000408323117_1,lig_00002248,28,330.428,2.2814,60.85,0.85186882,0.90484712,1000,GREEN (advance),CCN1CCN(C(=O)[C@H]2CCCc3c(O)cccc32)C(C)(C)C1=O
1A,ZINC000626972039_1,lig_00003027,28,300.358,2.02072,62.55,0.894946468,0.939368158,1000,GREEN (advance),CCN1CC[C@@H](NC(=O)Cc2coc3ccc(C)cc23)C1=O
1A,ZINC000130611174_1,lig_00005884,28,343.427,2.03792,69.72,0.89343313,0.909412151,1000,GREEN (advance),CCN1C[C@@H](C(=O)Nc2ccc(C(=O)N3CCCC3)cc2C)CC1=O
1A,ZINC000452938250_1,lig_00008143,28,344.455,2.72112,66.48,0.89621408,0.773543467,1000,GREEN (advance),CCN1C[C@@H](NC(=O)CC(C)(C)CC(=O)c2ccc(C)cc2)CC1=O
1A,ZINC000571139482_1,lig_00008309,28,357.454,2.5048,61.88,0.974302018,0.900588932,1000,GREEN (advance),CCN1C[C@@H](NC(=O)N2CCC(=Cc3cccc(OC)c3)CC2)CC1=O
1A,ZINC001344868836_1,lig_00008931,28,366.845,2.3451,67.87,0.917346311,0.830431747,1000,GREEN (advance),CCN1C[C@@H](OC(=O)C2(c3cccc(Cl)c3)CCOCC2)CNC1=O
1A,ZINC000072418973_1,lig_00012806,28,364.873,2.8392,60.85,0.759640384,0.896663255,1000,GREEN (advance),CCN1C[C@]2(CCCN(C(=O)Cc3ccc(O)c(Cl)c3)C2)CCC1=O
1A,ZINC001515952528_1,lig_00013472,28,341.459,2.83002,63.05,0.922358763,0.908225596,1000,GREEN (advance),CCNC(=O)C(C)(C)Cn1c(C)nnc1N1Cc2ccccc2[C@@H]1C
1A,ZINC001433370478_1,lig_00013395,28,329.448,2.82514,63.05,0.922100186,0.885005952,1000,GREEN (advance),CCNC(=O)C(C)(C)Cn1c(C)nnc1N(C)c1ccc(C)cc1
1A,ZINC001710309968_1,lig_00013474,28,381.524,2.9214,63.05,0.960596025,0.80098135,1000,GREEN (advance),CCNC(=O)C(C)(C)Cn1c(C2CC2)nnc1N(C)C1Cc2ccccc2C1
1A,ZINC001547745984_1,lig_00013500,28,381.524,3.4415,63.05,0.956608653,0.832517871,1000,GREEN (advance),CCNC(=O)C(C)(C)Cn1c(C2CC2)nnc1N1CCc2ccccc2[C@H]1C
1A,ZINC001296238822_1,lig_00013502,28,367.497,3.399,63.05,0.949666488,0.849909063,1000,GREEN (advance),CCNC(=O)C(C)(C)Cn1c(C2CC2)nnc1N1Cc2ccccc2[C@@H]1C
1A,ZINC001767184492_1,lig_00013588,28,381.524,3.4741,63.05,0.9568151,0.797589158,1000,GREEN (advance),CCNC(=O)C(C)(C)Cn1c(CC2CC2)nnc1N1Cc2ccccc2[C@@H]1C
1A,ZINC001313975373_1,lig_00013838,28,353.47,2.89554,63.05,0.978629839,0.897694527,1000,GREEN (advance),CCNC(=O)C1(Cn2c(C)nnc2N2CCc3cc(C)ccc32)CCC1
1A,ZINC000110621325_1,lig_00014145,28,302.374,2.8685,62.55,0.959213936,0.892168268,1000,GREEN (advance),CCNC(=O)CCC(=O)N(C)[C@H](C)c1cc2ccccc2o1
1A,ZINC000185819743_1,lig_00014375,28,314.385,2.3997,66.48,0.991047895,0.907281453,1000,GREEN (advance),CCNC(=O)CCCC(=O)N1C[C@H]2CCC(=O)c3cccc1c32
1A,ZINC001192359857_1,lig_00054398,28,333.428,2.9354,66.84,0.847064185,0.841449721,1000,GREEN (advance),CCOC(=O)C1(CC)CCN(C(=O)c2ccc([C@@H](C)O)cc2)CC1
1A,ZINC001183439764_1,lig_00015396,28,344.455,2.2963,66.48,0.828425682,0.825213102,1000,GREEN (advance),CCNC(=O)CN(C)C(=O)[C@H](C)c1ccc(C[C@@H]2CCCC2=O)cc1
1A,ZINC000330048860_1,lig_00047561,120,282.343,2.07528,69.96,0.931769085,0.918747317,1000,GREEN (advance),N#Cc1cccc(C2(C(=O)NC[C@H]3CCCC3=O)CC2)c1
1A,ZINC000560333501_1,lig_00048195,120,298.386,2.56628,62.12,0.962700152,0.928964883,1000,GREEN (advance),N#Cc1cccc(CC(=O)NC[C@@H]2CCOC3(CCC3)C2)c1
1A,ZINC000194851727_1,lig_00009958,120,280.327,2.88758,66.03,0.755445981,0.939693725,1000,GREEN (advance),N#Cc1ccc(CC(=O)N[C@@H]2CCCc3occc32)cc1
1A,ZINC000892686007_1,lig_00010869,120,298.386,2.56628,62.12,0.944239116,0.928964883,1000,GREEN (advance),N#Cc1ccc(CCNC(=O)[C@@H]2CCOC3(CCC3)C2)cc1
1A,ZINC000485614589_1,lig_00070152,82,358.482,2.8998,66.48,0.912085795,0.79531405,1000,GREEN (advance),C[C@H](C(=O)NC(C)(C)C)N(C)C(=O)CCC(=O)c1ccc2c(c1)CCC2
1A,ZINC001274662116_1,lig_00055533,82,370.474,2.6132,60.85,0.581321317,0.899964992,1000,GREEN (advance),C[C@H](C(=O)N1CC2(CCN2C(=O)Cc2ccsc2)C1)c1ccc(O)cc1
1A,ZINC000933401533_1,lig_00001174,82,393.413,3.2335,63.05,0.986369383,0.86758788,1000,GREEN (advance),C[C@@](NC(=O)N1CCn2c(CC3CC3)nnc2C1)(c1ccccc1)C(F)(F)F
1A,ZINC000965866347_1,lig_00007313,109,338.407,3.16032,62.55,0.949109459,0.931296607,1000,GREEN (advance),Cc1coc(C(=O)N2Cc3ccc(CNC(=O)C4CCC4)cc3C2)c1
1A,ZINC000270547363_1,lig_00009704,120,312.291,2.01658,64.33,0.98868103,0.908420753,990,GREEN (advance),N#Cc1ccc(CC(=O)N2CCC(O)(C(F)(F)F)CC2)cc1
1A,ZINC000870248439_1,lig_00094482,120,318.442,2.5349,63.4,0.89274472,0.91118777,955,GREEN (advance),NC(=O)c1ccc(C(=O)N2CCC3(CCSCC3)CC2)cc1
1A,ZINC000836058051_1,lig_00026390,109,327.38,2.90124,68.54,0.957197559,0.876843206,940,GREEN (advance),Cc1coc(C)c1C(=O)OC[C@@]1(c2ccccc2)CCC(=O)NC1
