Rank,ZINC ID,MW (Da),LogP,QED,LD50 (mg/kg),Risk Score,ProTox Risk Band,Hepatotoxicity,Cardiotoxicity,Mutagenicity,Carcinogenicity,AMES,hERG,BBB Penetration,TPSA,HBA,HBD
16,ZINC000331864530_1,385.508,2.5759,0.846923926,3300,0.68,GREEN (advance),No,No,No,No,0.120015244,0.329278269,0.764364219,69.72,3,1
17,ZINC001436004151_1,408.296,2.3442,0.835061236,3000,0.68,GREEN (advance),No,No,No,No,0.210397945,0.363975215,0.960896575,69.72,3,1
18,ZINC000934141726_1,319.401,2.8284,0.87005295,2973,0.65,GREEN (advance),No,No,No,No,0.091232773,0.132728377,0.666942269,66.84,4,1
19,ZINC001008808068_1,354.275,2.36232,0.848025923,3780,0.83,GREEN (advance),No,No,No,No,0.122714985,0.485268378,0.94538002,62.55,3,1
20,ZINC000826139982_1,318.32,2.2459,0.869517671,2450,0.53,GREEN (advance),No,No,No,No,0.22137199,0.28486699,0.989984548,63.4,3,1
21,ZINC000546081951_1,340.489,2.4203,0.864684064,2500,0.71,GREEN (advance),No,No,No,No,0.05052301,0.259316541,0.826537442,66.48,3,1
22,ZINC000486906883_1,400.397,2.5755,0.825135137,2100,0.62,GREEN (advance),No,No,No,No,0.404610988,0.333681256,0.947946084,67.87,4,1
23,ZINC001018774277_1,327.384,2.21284,0.919265957,2450,0.8,GREEN (advance),No,No,No,No,0.082012982,0.421973729,0.589118892,69.55,3,1
24,ZINC000520206376_1,391.318,2.2797,0.726163918,2000,1.0,GREEN (advance),No,No,No,No,0.425870574,0.429256576,0.943450236,60.21,5,1
25,ZINC000603420840_1,262.316,2.63448,0.923283663,2000,1.0,GREEN (advance),No,No,No,No,0.385689408,0.44692519,0.973220909,61.6,4,1
26,ZINC000881328033_1,355.463,2.9108,0.764434882,2000,1.0,GREEN (advance),No,No,No,No,0.279113357,0.427166462,0.89306736,60.17,6,1
27,ZINC001016947868_1,338.407,2.64712,0.932098658,1860,1.0,GREEN (advance),No,No,No,No,0.292714614,0.242475823,0.945962226,62.55,3,1
28,ZINC001140416597_1,395.87,2.1198,0.685146651,1700,1.0,GREEN (advance),No,No,No,No,0.123575753,0.492905343,0.334149602,69.41,5,1
29,ZINC000766940351_1,311.307,2.93818,0.933072462,1600,1.0,GREEN (advance),No,No,No,No,0.448020276,0.144318347,0.982769465,65.78,3,1
30,ZINC000781062110_1,291.354,2.30088,0.93964868,1600,1.0,GREEN (advance),No,No,No,No,0.430631894,0.320083225,0.900453591,65.78,3,1
31,ZINC000781056905_1,305.381,2.69098,0.944158507,1600,1.0,GREEN (advance),No,No,No,No,0.424837023,0.475229478,0.896039057,65.78,3,1
32,ZINC000823826077_1,384.281,2.473,0.709106894,1500,1.0,GREEN (advance),No,No,No,No,0.470859268,0.404459566,0.835172784,69.38,3,1
33,ZINC000450815689_1,340.423,2.5572,0.930398802,1500,1.0,GREEN (advance),No,No,No,No,0.376219946,0.497581315,0.819320452,60.85,3,1
34,ZINC000544534662_1,359.47,3.2319,0.877881857,1500,1.0,GREEN (advance),No,No,No,No,0.195772356,0.469265187,0.978346503,61.88,3,1
35,ZINC000524846760_1,422.525,3.2559,0.743818455,1500,1.0,GREEN (advance),No,No,No,No,0.20965811,0.482130593,0.456834167,67.87,4,1
36,ZINC001602681992_1,384.281,2.4011,0.733658797,1500,1.0,GREEN (advance),No,No,No,No,0.472744265,0.312497792,0.891931736,69.38,3,1
37,ZINC001588320882_1,398.308,2.4436,0.692739598,1500,1.0,GREEN (advance),No,No,No,No,0.496899271,0.446486771,0.857646942,69.38,3,1
38,ZINC000823827184_1,384.281,2.473,0.709106894,1500,1.0,GREEN (advance),No,No,No,No,0.446388063,0.397374526,0.868739641,69.38,3,1
39,ZINC001609018251_1,384.281,2.4011,0.733658797,1500,1.0,GREEN (advance),No,No,No,No,0.470029342,0.324777931,0.924133515,69.38,3,1
40,ZINC001609018178_1,384.281,2.2679,0.732919658,1500,1.0,GREEN (advance),No,No,No,No,0.492070439,0.450958085,0.922601259,69.38,3,1
41,ZINC000097728464_1,357.454,2.0485,0.847060555,1500,1.0,GREEN (advance),No,No,No,No,0.18845576,0.46067999,0.883836555,69.72,3,1
42,ZINC000436837591_1,330.306,2.1038,0.903326467,1375,1.0,GREEN (advance),No,No,No,No,0.208757599,0.346384618,0.951218081,60.85,3,1
43,ZINC000618182290_1,346.496,3.3064,0.832103261,1250,1.0,GREEN (advance),No,No,No,No,0.112664539,0.432411987,0.960134161,63.4,3,1
44,ZINC000104021936_1,332.4,2.0376,0.895840005,1250,1.0,GREEN (advance),No,No,No,No,0.16414022,0.18867646,0.927729309,67.87,4,1
45,ZINC000652840969_1,354.454,2.01624,0.862911394,1228,1.0,GREEN (advance),No,No,No,No,0.102264883,0.397216964,0.807483673,67.23,4,1
46,ZINC001433370437_1,339.443,2.41312,0.9085715,1200,1.0,GREEN (advance),No,No,No,No,0.298690736,0.40045765,0.980081451,63.05,5,1
47,ZINC000360351341_1,297.786,2.2277,0.925106137,1190,1.0,GREEN (advance),No,No,No,No,0.282008462,0.091541482,0.984827852,68.45,4,1
48,ZINC000604028794_1,370.371,2.4415,0.782512398,1160,1.0,GREEN (advance),No,No,No,No,0.152185093,0.321574141,0.983264732,66.48,3,1
49,ZINC000652835608_1,334.391,2.0192,0.775937504,1160,1.0,GREEN (advance),No,No,No,No,0.446889508,0.327545814,0.97742908,66.48,3,1
50,ZINC000869145251_1,337.423,2.251,0.910142416,1011,1.0,GREEN (advance),No,No,No,No,0.179526189,0.3426539,0.98057605,62.3,3,1
51,ZINC000130611174_1,343.427,2.03792,0.909412151,1000,1.0,GREEN (advance),No,No,No,No,0.204348303,0.445546737,0.89343313,69.72,3,1
52,ZINC000408323117_1,330.428,2.2814,0.90484712,1000,1.0,GREEN (advance),No,No,No,No,0.224544711,0.248888753,0.85186882,60.85,3,1
53,ZINC000626972039_1,300.358,2.02072,0.939368158,1000,1.0,GREEN (advance),No,No,No,No,0.446789166,0.202818645,0.894946468,62.55,3,1
54,ZINC000571139482_1,357.454,2.5048,0.900588932,1000,1.0,GREEN (advance),No,No,No,No,0.233742692,0.44707998,0.974302018,61.88,3,1
55,ZINC000477439824_1,361.219,2.8448,0.758901246,1000,1.0,GREEN (advance),No,No,No,No,0.422947043,0.447943056,0.926784611,68.67,4,1
56,ZINC000544659246_1,359.47,2.3807,0.877986423,1000,1.0,GREEN (advance),No,No,No,No,0.178769772,0.486752605,0.979659176,61.88,3,1
57,ZINC000110621325_1,302.374,2.8685,0.892168268,1000,1.0,GREEN (advance),No,No,No,No,0.132265505,0.386380357,0.959213936,62.55,3,1
58,ZINC000185819743_1,314.385,2.3997,0.907281453,1000,1.0,GREEN (advance),No,No,No,No,0.310125282,0.286843538,0.991047895,66.48,3,1
59,ZINC001192359857_1,333.428,2.9354,0.841449721,1000,1.0,GREEN (advance),No,No,No,No,0.047888998,0.432949317,0.847064185,66.84,4,1
60,ZINC001183439764_1,344.455,2.2963,0.825213102,1000,1.0,GREEN (advance),No,No,No,No,0.102607837,0.082003722,0.828425682,66.48,3,1
61,ZINC000330048860_1,282.343,2.07528,0.918747317,1000,1.0,GREEN (advance),No,No,No,No,0.290344042,0.090237621,0.931769085,69.96,3,1
62,ZINC001313975373_1,353.47,2.89554,0.897694527,1000,1.0,GREEN (advance),No,No,No,No,0.188485607,0.46344952,0.978629839,63.05,5,1
63,ZINC001433370478_1,329.448,2.82514,0.885005952,1000,1.0,GREEN (advance),No,No,No,No,0.068776234,0.343724531,0.922100186,63.05,5,1
64,ZINC001515952528_1,341.459,2.83002,0.908225596,1000,1.0,GREEN (advance),No,No,No,No,0.161707503,0.33313103,0.922358763,63.05,5,1
65,ZINC000194851727_1,280.327,2.88758,0.939693725,1000,1.0,GREEN (advance),No,No,No,No,0.302004418,0.2449837,0.755445981,66.03,3,1
66,ZINC000560333501_1,298.386,2.56628,0.928964883,1000,1.0,GREEN (advance),No,No,No,No,0.325904801,0.34705945,0.962700152,62.12,3,1
67,ZINC000892686007_1,298.386,2.56628,0.928964883,1000,1.0,GREEN (advance),No,No,No,No,0.458265662,0.388048062,0.944239116,62.12,3,1
68,ZINC001274662116_1,370.474,2.6132,0.899964992,1000,1.0,GREEN (advance),No,No,No,No,0.080194848,0.336058888,0.581321317,60.85,4,1
69,ZINC000965866347_1,338.407,3.16032,0.931296607,1000,1.0,GREEN (advance),No,No,No,No,0.253225687,0.401061478,0.949109459,62.55,3,1
70,ZINC000870248439_1,318.442,2.5349,0.91118777,955,1.0,GREEN (advance),No,No,No,No,0.078221038,0.41174472,0.89274472,63.4,3,1
71,ZINC000836058051_1,327.38,2.90124,0.876843206,940,1.0,GREEN (advance),No,No,No,No,0.124950144,0.44056235,0.957197559,68.54,4,1
72,ZINC000170871960_1,379.278,2.4788,0.86714025,920,1.0,GREEN (advance),No,No,No,No,0.353873086,0.486999387,0.956485283,64.76,4,1
73,ZINC000680769483_1,299.374,2.4108,0.92030348,920,1.0,GREEN (advance),No,No,No,No,0.348383781,0.208462325,0.992849684,68.02,4,1
74,ZINC000680742694_1,285.347,2.0207,0.912276574,920,1.0,GREEN (advance),No,No,No,No,0.383946121,0.14237549,0.993832707,68.02,4,1
75,ZINC000680746335_1,285.347,2.2164,0.914268612,920,1.0,GREEN (advance),No,No,No,No,0.317572817,0.100669444,0.991660285,68.02,4,1
76,ZINC000347406171_1,301.39,2.84452,0.890535284,920,1.0,GREEN (advance),No,No,No,No,0.078685635,0.10431191,0.941815913,68.02,4,1
77,ZINC000277843696_1,313.401,2.6079,0.852929376,920,1.0,GREEN (advance),No,No,No,No,0.235129556,0.238800511,0.988329971,68.02,4,1
78,ZINC000860103481_1,337.803,2.1016,0.854403264,2000,1.27,GREEN (advance),No,No,No,No,0.207000725,0.069494929,0.971960044,66.84,4,1
79,ZINC000640949294_1,373.278,2.0779,0.764901952,900,1.0,GREEN (advance),No,No,No,No,0.279742109,0.482609153,0.781469512,60.21,4,1
80,ZINC000173283029_1,375.246,3.2349,0.743573043,850,1.0,GREEN (advance),No,No,No,No,0.277153468,0.475919384,0.911479914,68.67,4,1
81,ZINC000451465529_1,353.24,2.8783,0.917811432,850,1.0,GREEN (advance),No,No,No,No,0.38518464,0.377317134,0.772422957,68.67,4,1
82,ZINC000435351830_1,295.317,2.44038,0.941810623,1600,1.27,GREEN (advance),No,No,No,No,0.453484529,0.136286952,0.961606896,65.78,3,1
83,ZINC000554551801_1,284.359,2.00678,0.903166722,800,1.0,GREEN (advance),No,No,No,No,0.12707737,0.291669047,0.879430258,64.33,3,1
84,ZINC000554489900_1,298.386,2.39688,0.931621261,800,1.0,GREEN (advance),No,No,No,No,0.22969895,0.403791988,0.84172523,64.33,3,1
85,ZINC001637639030_1,385.386,2.3899,0.846765321,800,1.0,GREEN (advance),No,No,No,No,0.401782602,0.464155257,0.941259384,61.88,3,1
86,ZINC000455401328_1,359.47,2.0405,0.845473867,800,1.0,GREEN (advance),No,No,No,No,0.232144699,0.49525069,0.979094791,61.88,3,1
87,ZINC000894678555_1,377.872,2.5651,0.819666651,800,1.0,GREEN (advance),No,No,No,No,0.168893458,0.172267903,0.951808345,69.72,3,1
88,ZINC000583127796_1,304.415,2.1448,0.910277165,780,1.0,GREEN (advance),No,No,No,No,0.076787033,0.360538587,0.910359609,63.4,3,1
89,ZINC000849704238_1,291.347,2.2932,0.864337323,750,1.0,GREEN (advance),No,No,No,No,0.317464218,0.194323185,0.880246317,66.84,4,1
90,ZINC000584511510_1,300.358,2.1024,0.919544675,750,1.0,GREEN (advance),No,No,No,No,0.453059596,0.344181906,0.975506818,62.55,3,1
91,ZINC001248718246_1,350.24,2.1151,0.900913855,722,1.0,GREEN (advance),No,No,No,No,0.120797955,0.48339946,0.69911508,68.42,4,1
92,ZINC001155139806_1,358.36,2.2081,0.901255404,1600,1.51,GREEN (advance),No,No,No,No,0.152881386,0.418321031,0.936903346,60.85,3,1
93,ZINC000868134797_1,323.396,2.0034,0.935983694,660,1.0,GREEN (advance),No,No,No,No,0.376803261,0.1384442,0.96265763,62.3,3,1
94,ZINC000632924016_1,323.396,2.0034,0.935983694,650,1.0,GREEN (advance),No,No,No,No,0.406370395,0.141244763,0.952592921,62.3,3,1
95,ZINC000633574115_1,337.423,2.251,0.910142416,650,1.0,GREEN (advance),No,No,No,No,0.178303756,0.363797194,0.974703884,62.3,3,1
96,ZINC000527903467_1,286.331,2.21982,0.937055746,620,1.0,GREEN (advance),No,No,No,No,0.152189121,0.201372066,0.770334089,62.55,3,1
97,ZINC001547745984_1,381.524,3.4415,0.832517871,1000,1.03,GREEN (advance),No,No,No,No,0.218855153,0.496355301,0.956608653,63.05,5,1
98,ZINC001217741407_1,407.332,2.5638,0.846432002,600,1.0,GREEN (advance),No,No,No,No,0.057009382,0.413270938,0.804513597,64.76,4,1
99,ZINC001016817530_1,344.386,3.06854,0.927091442,600,1.0,GREEN (advance),No,No,No,No,0.247540919,0.44980441,0.950219548,62.55,3,1
100,ZINC000661273949_1,357.454,2.1766,0.88242756,600,1.0,GREEN (advance),No,No,No,No,0.218265601,0.489439589,0.984787321,61.88,3,1
101,ZINC000377789340_1,323.396,2.2332,0.917673306,590,1.0,GREEN (advance),No,No,No,No,0.247913378,0.399518895,0.827494764,62.3,3,1
102,ZINC001344868836_1,366.845,2.3451,0.830431747,1000,1.06,GREEN (advance),No,No,No,No,0.437050381,0.205125305,0.917346311,67.87,4,1
103,ZINC001710309968_1,381.524,2.9214,0.80098135,1000,1.06,GREEN (advance),No,No,No,No,0.242158839,0.472686923,0.960596025,63.05,5,1
104,ZINC001296238822_1,367.497,3.399,0.849909063,1000,1.06,GREEN (advance),No,No,No,No,0.246198784,0.373051447,0.949666488,63.05,5,1
105,ZINC000356230410_1,338.329,3.22588,0.857078254,560,1.0,GREEN (advance),No,No,No,No,0.310702653,0.275376728,0.980891192,69.96,3,1
106,ZINC000356177604_1,296.37,2.82758,0.868515453,560,1.0,GREEN (advance),No,No,No,No,0.311142111,0.239299354,0.859308267,69.96,3,1
107,ZINC000356232138_1,324.302,2.83578,0.865910652,560,1.0,GREEN (advance),No,No,No,No,0.463153604,0.2095653,0.983242106,69.96,3,1
108,ZINC000650601229_1,340.395,2.5254,0.856881193,1250,1.48,GREEN (advance),No,No,No,No,0.322334306,0.458149627,0.99733789,63.4,3,1
109,ZINC001767184492_1,381.524,3.4741,0.797589158,1000,1.09,GREEN (advance),No,No,No,No,0.254673265,0.484927112,0.9568151,63.05,5,1
110,ZINC000485614589_1,358.482,2.8998,0.79531405,1000,1.09,GREEN (advance),No,No,No,No,0.182680777,0.195976504,0.912085795,66.48,3,1
111,ZINC000533369446_1,385.289,2.5676,0.734590984,500,1.0,GREEN (advance),No,No,No,No,0.292263943,0.413018984,0.936912429,60.21,4,1
112,ZINC000519619338_1,405.345,3.0192,0.710107006,500,1.0,GREEN (advance),No,No,No,No,0.436513948,0.46900059,0.865398133,60.21,5,1
113,ZINC000557141585_1,305.381,2.73388,0.923383578,500,1.0,GREEN (advance),No,No,No,No,0.18384662,0.286510417,0.908104205,65.78,3,1
114,ZINC001181803968_1,291.354,2.68958,0.945161816,500,1.0,GREEN (advance),No,No,No,No,0.431393111,0.266533127,0.904363811,65.78,3,1
115,ZINC001767166858_1,379.455,3.22442,0.802337736,500,1.0,GREEN (advance),No,No,No,No,0.071966593,0.482237518,0.896864665,63.05,5,1
116,ZINC001695917563_1,391.466,3.36852,0.786115871,500,1.0,GREEN (advance),No,No,No,No,0.206351884,0.464034498,0.960365593,63.05,5,1
117,ZINC000565758585_1,371.481,2.52854,0.827105894,500,1.0,GREEN (advance),No,No,No,No,0.090385988,0.323006824,0.967431343,69.72,3,1
118,ZINC000664846513_1,355.438,2.2572,0.885131809,500,1.0,GREEN (advance),No,No,No,No,0.298805098,0.493150854,0.98612442,61.88,3,1
119,ZINC000580863573_1,429.342,3.0098,0.627169828,500,1.0,GREEN (advance),No,No,No,No,0.261435251,0.494476771,0.630431223,69.44,5,1
120,ZINC001182341985_1,305.381,3.07968,0.943682803,500,1.0,GREEN (advance),No,No,No,No,0.407513088,0.392749527,0.895394492,65.78,3,1
121,ZINC000072418973_1,364.873,2.8392,0.896663255,1000,1.15,GREEN (advance),No,No,No,No,0.071914968,0.435498714,0.759640384,60.85,3,1
122,ZINC000452938250_1,344.455,2.72112,0.773543467,1000,1.15,GREEN (advance),No,No,No,No,0.169293511,0.224791631,0.89621408,66.48,3,1
123,ZINC001588321543_1,362.275,2.0445,0.90392828,496,1.0,GREEN (advance),No,No,No,No,0.427075484,0.264898829,0.810893965,69.38,3,1
124,ZINC000635821547_1,367.396,2.1528,0.867023681,1000,1.3,GREEN (advance),No,No,No,No,0.243559165,0.393705264,0.93217833,69.72,3,1
125,ZINC000896953839_1,360.235,2.8394,0.76081872,920,1.03,GREEN (advance),No,No,No,No,0.492091027,0.498198742,0.839108276,68.85,3,1
126,ZINC000278284893_1,305.381,2.69098,0.944158507,450,1.0,GREEN (advance),No,No,No,No,0.33601169,0.38033812,0.897950089,65.78,3,1
127,ZINC000836001802_1,347.455,3.27332,0.768980959,435,1.0,GREEN (advance),No,No,No,No,0.427503017,0.306459576,0.889996004,64.63,4,1
128,ZINC000933401533_1,393.413,3.2335,0.86758788,1000,1.39,GREEN (advance),No,No,No,No,0.266591783,0.272517234,0.986369383,63.05,4,1
129,ZINC000651088388_1,325.412,2.13114,0.936556508,400,1.0,GREEN (advance),No,No,No,No,0.314461742,0.312733388,0.974423957,62.3,3,1
130,ZINC000939173896_1,341.411,2.39152,0.931832652,370,1.0,GREEN (advance),No,No,No,No,0.164582714,0.423353779,0.934984732,69.55,3,1
131,ZINC000567302976_1,314.385,2.4763,0.849112011,350,1.0,GREEN (advance),No,No,No,No,0.347389829,0.195160872,0.97001524,66.48,3,1
132,ZINC000160978497_1,326.44,3.48898,0.921045615,350,1.0,GREEN (advance),No,No,No,No,0.455178416,0.450501207,0.915720809,62.12,3,1
133,ZINC000177977648_1,300.358,2.0125,0.928320482,350,1.0,GREEN (advance),No,No,No,No,0.490233877,0.288305998,0.990794671,66.48,3,1
134,ZINC001296809397_1,364.873,2.4069,0.895485472,1000,1.75,GREEN (advance),No,No,No,No,0.074350552,0.189407164,0.9372262,60.85,3,1
135,ZINC000652832380_1,393.281,2.0344,0.832826927,920,1.09,GREEN (advance),No,No,No,No,0.146681475,0.126892602,0.964097738,66.48,3,1
136,ZINC000652843266_1,325.412,2.152,0.885053316,333,1.0,GREEN (advance),No,No,No,No,0.229135644,0.494743538,0.980393565,62.3,3,1
137,ZINC000533259551_1,310.397,2.80778,0.933529675,326,1.0,GREEN (advance),No,No,No,No,0.412275642,0.269246466,0.931820309,62.12,3,1
138,ZINC000340318430_1,312.369,2.4312,0.922086868,316,1.0,GREEN (advance),No,No,No,No,0.37808201,0.420810106,0.929065359,62.55,3,1
139,ZINC000350424698_1,285.347,2.13652,0.91352797,920,1.15,GREEN (advance),No,No,No,No,0.198330993,0.028611406,0.985339355,68.02,4,1
140,ZINC001228784887_1,417.403,3.1762,0.765948166,800,1.09,GREEN (advance),No,No,No,No,0.298591983,0.391277212,0.979431474,61.88,3,1
141,ZINC000270547363_1,312.291,2.01658,0.908420753,990,1.57,GREEN (advance),No,No,No,No,0.211023253,0.41916945,0.98868103,64.33,3,1
142,ZINC001529991046_1,359.47,2.1133,0.845701505,880,1.24,GREEN (advance),No,No,No,No,0.138017341,0.167092596,0.753084266,69.72,3,1
143,ZINC000868717016_1,323.396,2.0034,0.935983694,660,1.06,GREEN (advance),No,No,No,No,0.300026323,0.142384486,0.973716831,62.3,3,1
144,ZINC001182785852_1,300.402,2.67128,0.933085432,800,1.12,GREEN (advance),No,No,No,No,0.070352736,0.438245386,0.716402543,64.33,3,1
145,ZINC000633318908_1,323.396,2.0034,0.935983694,650,1.06,GREEN (advance),No,No,No,No,0.32080773,0.14970405,0.96676172,62.3,3,1
146,ZINC001842805813_1,370.371,2.6515,0.889944193,660,1.24,GREEN (advance),No,No,No,No,0.24044309,0.432249522,0.853559828,60.85,3,1
147,ZINC000374286108_1,335.835,2.3573,0.902076965,650,1.3,GREEN (advance),No,No,No,No,0.058480494,0.161217479,0.924152029,62.3,3,1
148,ZINC000189775572_1,365.861,2.2194,0.889503335,500,1.12,GREEN (advance),No,No,No,No,0.36710206,0.314748155,0.977974451,61.88,3,1
149,ZINC001296240089_1,355.486,3.39412,0.826775652,397,1.03,GREEN (advance),No,No,No,No,0.144596346,0.401452351,0.951537693,63.05,5,1
150,ZINC001271456809_1,398.29,2.1941,0.845662269,460,1.09,GREEN (advance),No,No,No,No,0.079310476,0.352880383,0.733672583,69.72,3,1
151,ZINC000626514229_1,381.423,2.0793,0.868238501,525,1.33,GREEN (advance),No,No,No,No,0.180603028,0.404367208,0.938293934,69.72,3,1
152,ZINC001257366747_1,415.315,2.0641,0.709030207,449,1.12,GREEN (advance),No,No,No,No,0.100033572,0.456315768,0.516030431,61.18,5,1
153,ZINC001553587396_1,357.454,2.1107,0.900706262,500,1.33,GREEN (advance),No,No,No,No,0.100661406,0.118181157,0.702872038,69.72,3,1
154,ZINC001180489420_1,375.318,2.4654,0.766187943,500,1.42,GREEN (advance),No,No,No,No,0.256438813,0.487102705,0.983870459,66.84,4,1
